Episode Name,Episode Code,0,1,2,3,4,5,6,7,8,9
0,0,56,78,110,97,72,98,75,129,153,132
1,1,79,64,98,108,54,115,88,148,145,101
2,2,76,117,123,105,74,75,64,114,122,130
3,3,84,86,64,134,60,125,65,63,194,125
4,4,80,74,89,65,100,67,61,99,89,276
5,5,67,87,101,108,90,103,63,105,117,159
6,6,46,106,58,97,267,63,51,62,116,134
7,7,57,92,64,106,84,231,60,95,106,105
8,8,87,85,63,143,71,122,62,67,174,126
9,9,53,80,52,113,57,105,59,286,92,103
10,10,74,138,130,122,67,127,71,75,122,74
11,11,64,89,105,114,105,95,70,134,120,104
